Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.991147,0.991121,0.993795,0.991211,0.989781,0.988866,0.990677,0.988483,0.992552,0.995403,0.990512,0.992069,0.990779,0.989799,0.990085,0.990903,0.991238
0.991576,0.991812,0.992690,0.991089,0.990979,0.991220,0.993404,0.991418,0.992552,0.991556,0.991588,0.991827,0.991664,0.990281,0.989484,0.991870,0.992852
0.992254,0.991812,0.995410,0.992304,0.992178,0.990948,0.991117,0.991086,0.992552,0.993339,0.991441,0.991307,0.993803,0.991901,0.989340,0.992573,0.992160
0.991326,0.991269,0.994135,0.992952,0.991379,0.990382,0.991117,0.990366,0.990892,0.995497,0.990952,0.990234,0.991738,0.991550,0.989254,0.991035,0.990623
0.990433,0.989888,0.992860,0.991211,0.990180,0.988821,0.990062,0.988539,0.989905,0.996060,0.988556,0.990442,0.989820,0.990281,0.987936,0.990112,0.989394
0.991112,0.989543,0.991584,0.990927,0.988849,0.988255,0.990413,0.988926,0.989861,0.991463,0.989730,0.988987,0.989894,0.990718,0.987535,0.989717,0.990931
0.989827,0.988926,0.990224,0.990036,0.988250,0.987644,0.989798,0.989259,0.988963,0.992401,0.988751,0.988121,0.990853,0.989142,0.987592,0.990288,0.987472
0.987649,0.987422,0.988864,0.988011,0.986652,0.986920,0.986456,0.987597,0.989771,0.989774,0.987431,0.988987,0.990041,0.989274,0.985099,0.987739,0.988164
0.986257,0.987989,0.991244,0.987930,0.986086,0.985766,0.987599,0.986933,0.987931,0.990994,0.987529,0.988087,0.987976,0.988398,0.986676,0.988355,0.987318
0.986293,0.986928,0.988949,0.988659,0.985354,0.985539,0.987511,0.986822,0.989187,0.988554,0.986453,0.988918,0.989377,0.987916,0.985157,0.987520,0.986550
0.987292,0.987545,0.987504,0.987768,0.985420,0.985449,0.986807,0.986822,0.987976,0.989774,0.987040,0.989160,0.989082,0.988354,0.984154,0.988399,0.985935
0.986614,0.987643,0.987759,0.986836,0.984855,0.984046,0.984433,0.986878,0.985778,0.992213,0.986844,0.987983,0.988271,0.987785,0.984727,0.988091,0.987088
0.986471,0.985966,0.986909,0.987039,0.984189,0.983480,0.984697,0.985660,0.985598,0.991556,0.986795,0.987117,0.987017,0.988442,0.984068,0.986113,0.985781
0.985686,0.985720,0.988354,0.986917,0.985121,0.984363,0.985312,0.985217,0.985553,0.990243,0.986355,0.987463,0.987828,0.987785,0.984526,0.985191,0.987549
0.986400,0.985843,0.986229,0.986269,0.985653,0.984861,0.985664,0.986103,0.985868,0.990712,0.986844,0.987810,0.987976,0.987260,0.985845,0.986817,0.987395
0.985436,0.985868,0.987759,0.986755,0.985287,0.984023,0.986368,0.984331,0.986765,0.990524,0.985670,0.986390,0.988197,0.986997,0.984813,0.987080,0.986473
0.984401,0.986953,0.987759,0.986553,0.984655,0.984770,0.987423,0.985161,0.986944,0.989962,0.985817,0.987983,0.987312,0.987785,0.985443,0.985718,0.987011
0.986507,0.986139,0.987249,0.987970,0.984089,0.985019,0.989622,0.986047,0.986630,0.987241,0.985132,0.986874,0.986427,0.986953,0.986532,0.985982,0.987395
0.987006,0.986509,0.987759,0.987727,0.984455,0.984363,0.988391,0.985272,0.989143,0.982269,0.984154,0.986840,0.987607,0.985859,0.985701,0.987124,0.987472
0.987221,0.984832,0.989289,0.986188,0.984189,0.983435,0.987423,0.985051,0.986765,0.980861,0.983078,0.985281,0.987533,0.985684,0.987707,0.986685,0.986166
0.986542,0.983796,0.986654,0.987322,0.983157,0.983027,0.985400,0.982005,0.984073,0.984520,0.984105,0.985420,0.986058,0.984545,0.988595,0.985279,0.986089
0.985543,0.984067,0.985889,0.984487,0.981792,0.981647,0.983377,0.982947,0.982906,0.985927,0.984252,0.985905,0.984730,0.983889,0.990028,0.984268,0.983860
0.984829,0.983599,0.986569,0.984609,0.982691,0.982417,0.986368,0.982393,0.984207,0.983207,0.982736,0.985039,0.985763,0.983188,0.989684,0.984795,0.984167
0.986078,0.983821,0.985549,0.984406,0.982624,0.981805,0.986632,0.983888,0.986047,0.984520,0.984497,0.985697,0.987533,0.984808,0.988825,0.986245,0.985243
0.985293,0.984610,0.986484,0.985176,0.983456,0.982552,0.983641,0.982725,0.984073,0.986209,0.983958,0.986459,0.987312,0.986428,0.985615,0.985674,0.984628
0.984579,0.984610,0.984699,0.983272,0.983223,0.981194,0.983202,0.983500,0.983759,0.985834,0.983372,0.986009,0.985615,0.983932,0.982492,0.985323,0.983322
0.985721,0.985350,0.985124,0.983555,0.983057,0.981964,0.986632,0.983999,0.983938,0.985271,0.981855,0.985835,0.985615,0.985990,0.982893,0.985103,0.984167
0.985650,0.984190,0.985039,0.985338,0.982591,0.982779,0.983465,0.983223,0.985060,0.983863,0.983714,0.985281,0.986722,0.984939,0.981919,0.984971,0.984167
0.985400,0.984536,0.985379,0.984325,0.982857,0.982597,0.984257,0.983777,0.985643,0.983957,0.983372,0.984970,0.985910,0.983232,0.983437,0.984268,0.983629
0.984151,0.984758,0.984614,0.983758,0.980527,0.981851,0.982938,0.982338,0.983804,0.984239,0.982589,0.983757,0.984287,0.984107,0.980486,0.983784,0.983014
0.983758,0.983352,0.986059,0.983839,0.981126,0.982054,0.982674,0.982448,0.984207,0.981518,0.981269,0.984242,0.985025,0.984370,0.981088,0.983257,0.983476
0.982652,0.983451,0.985039,0.983515,0.981659,0.981421,0.982674,0.982338,0.982951,0.982269,0.982100,0.982857,0.985246,0.983713,0.981030,0.982949,0.983014
0.982366,0.981773,0.983509,0.984528,0.980893,0.980810,0.981266,0.982116,0.983535,0.982269,0.980339,0.982961,0.984804,0.983188,0.981432,0.982686,0.982323
0.979475,0.980442,0.982319,0.981125,0.979196,0.978931,0.979156,0.978628,0.979452,0.983676,0.979019,0.981472,0.983402,0.983232,0.979942,0.981104,0.979863
0.980617,0.979578,0.980874,0.981571,0.978597,0.978773,0.981706,0.978573,0.980753,0.979360,0.980682,0.980641,0.981853,0.980868,0.980715,0.981499,0.980709
0.981723,0.980072,0.982489,0.983555,0.979462,0.979452,0.981618,0.980677,0.982772,0.981049,0.978921,0.981610,0.982886,0.983144,0.981489,0.981983,0.980786
0.981830,0.980590,0.982404,0.983879,0.980161,0.980312,0.983993,0.981175,0.982547,0.983488,0.979948,0.982649,0.984214,0.983188,0.982005,0.982114,0.981016
0.980581,0.979480,0.981809,0.982745,0.980361,0.979474,0.981618,0.980289,0.980977,0.982738,0.979312,0.982684,0.983033,0.982356,0.981833,0.981148,0.982246
0.980474,0.980244,0.982064,0.982219,0.978430,0.979158,0.983202,0.979182,0.979766,0.983300,0.978579,0.981645,0.982296,0.983713,0.979970,0.980796,0.981785
0.980260,0.980269,0.982914,0.982057,0.978131,0.979972,0.980387,0.979791,0.979541,0.980298,0.978383,0.980814,0.982296,0.981743,0.980371,0.981411,0.982169
0.980902,0.980590,0.983679,0.982057,0.979063,0.979248,0.980123,0.979403,0.980439,0.980767,0.979117,0.981576,0.982074,0.981568,0.981976,0.981587,0.982246
0.982437,0.980442,0.982574,0.983029,0.979662,0.980606,0.985048,0.981673,0.982592,0.975514,0.980780,0.981853,0.983255,0.981918,0.982033,0.982334,0.979710
