Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.993711,0.994272,0.995838,0.987721,0.994583,0.991628,0.989680,0.990370,0.992199,0.997523,0.991010,0.991808,0.991474,0.994353,0.991827,0.991925,0.993012
0.992877,0.993038,0.994625,0.989236,0.993088,0.989381,0.988184,0.989599,0.990746,0.996648,0.991434,0.991923,0.990540,0.993717,0.989811,0.993962,0.993185
0.993262,0.991853,0.994798,0.987562,0.992341,0.989953,0.986689,0.990273,0.990287,0.998397,0.989484,0.988981,0.989488,0.992365,0.990247,0.991125,0.992926
0.991722,0.990223,0.992890,0.987004,0.989601,0.988932,0.987437,0.987288,0.991052,0.994317,0.990332,0.988981,0.990072,0.993637,0.991228,0.990470,0.992236
0.992748,0.991260,0.994104,0.989236,0.991781,0.988850,0.989979,0.988444,0.990057,0.994317,0.988551,0.989558,0.987503,0.991410,0.990574,0.990470,0.989993
0.992492,0.990618,0.992370,0.988120,0.990598,0.988279,0.989231,0.988059,0.987533,0.996211,0.989992,0.989039,0.989488,0.991331,0.989756,0.989815,0.991632
0.990823,0.990124,0.994971,0.986366,0.989290,0.986727,0.988035,0.986710,0.988528,0.996503,0.988805,0.989039,0.986802,0.992206,0.987631,0.989233,0.992150
0.992363,0.990964,0.993758,0.985808,0.987796,0.987952,0.988633,0.987866,0.989293,0.992276,0.987872,0.989097,0.988671,0.992046,0.988830,0.990615,0.991373
0.992235,0.990026,0.991157,0.985728,0.990162,0.986645,0.988633,0.986518,0.988528,0.993588,0.986770,0.988808,0.989956,0.990217,0.988394,0.989233,0.989993
0.992171,0.989532,0.993411,0.984691,0.988045,0.987176,0.986390,0.986421,0.985545,0.994754,0.988720,0.987827,0.987269,0.990376,0.988176,0.987487,0.987664
0.990053,0.990174,0.992197,0.985090,0.986862,0.985828,0.986390,0.986614,0.986922,0.994754,0.987448,0.988116,0.985985,0.990694,0.986978,0.988142,0.990511
0.989668,0.987112,0.992717,0.986446,0.987609,0.986032,0.985043,0.986710,0.986080,0.992714,0.987872,0.987770,0.987152,0.990376,0.987849,0.986105,0.988958
0.988770,0.987952,0.995492,0.987482,0.986551,0.986073,0.986689,0.985555,0.986004,0.991985,0.987618,0.986731,0.986685,0.990058,0.987196,0.986687,0.987233
0.989604,0.987557,0.993237,0.987083,0.986239,0.984930,0.982949,0.984495,0.985545,0.992714,0.987363,0.987885,0.986335,0.989501,0.986705,0.984505,0.987060
0.989283,0.987211,0.993237,0.988678,0.985679,0.984644,0.983249,0.985266,0.984627,0.993005,0.986176,0.987712,0.986685,0.989501,0.987740,0.985523,0.988785
0.990888,0.986421,0.993237,0.988678,0.986426,0.985665,0.983249,0.985747,0.987304,0.993151,0.987024,0.985808,0.986569,0.991331,0.987686,0.986251,0.987664
0.986973,0.989631,0.994451,0.988997,0.985181,0.985093,0.984744,0.986036,0.984933,0.991402,0.987702,0.987424,0.986218,0.989740,0.987795,0.984650,0.989562
0.987679,0.989384,0.992024,0.988200,0.984994,0.986114,0.985642,0.987962,0.985469,0.992568,0.985837,0.987943,0.984466,0.990217,0.987740,0.985305,0.988440
0.989604,0.989927,0.990290,0.989555,0.985367,0.985583,0.986390,0.986614,0.986845,0.987613,0.987109,0.988923,0.986569,0.989660,0.987305,0.986251,0.988872
0.990246,0.989236,0.990290,0.991867,0.985243,0.985828,0.986689,0.987673,0.986233,0.988925,0.986176,0.989904,0.988320,0.989740,0.987414,0.987633,0.988872
0.991465,0.990273,0.992197,0.987562,0.985243,0.986481,0.986838,0.986903,0.987074,0.992568,0.987702,0.989039,0.987737,0.989183,0.987087,0.987560,0.989821
0.989797,0.990766,0.992197,0.989635,0.984247,0.986441,0.984595,0.986807,0.986233,0.992276,0.989229,0.989385,0.988320,0.989978,0.986160,0.987051,0.990511
0.991016,0.990322,0.994971,0.990113,0.984433,0.985787,0.985193,0.985940,0.986616,0.990965,0.987957,0.990135,0.988671,0.989740,0.988503,0.988506,0.990769
0.990823,0.989976,0.991503,0.989475,0.985056,0.986114,0.985043,0.986807,0.986539,0.991548,0.987618,0.988289,0.988904,0.989660,0.986651,0.986542,0.988872
0.988834,0.989878,0.989769,0.988838,0.983001,0.984603,0.983099,0.987673,0.986004,0.990965,0.986176,0.987481,0.987386,0.988945,0.985506,0.985159,0.987836
0.986973,0.988396,0.988902,0.987721,0.984869,0.985501,0.982501,0.986518,0.985086,0.989945,0.987618,0.988693,0.986335,0.988308,0.983654,0.985596,0.986542
0.989091,0.990174,0.990116,0.987323,0.986177,0.984399,0.986390,0.984977,0.985010,0.991110,0.984056,0.986904,0.985985,0.988547,0.984744,0.984941,0.987578
0.986909,0.989137,0.986648,0.986605,0.986115,0.983827,0.983548,0.982184,0.981644,0.990090,0.984310,0.986558,0.983532,0.987911,0.983272,0.985523,0.985421
0.985946,0.988199,0.989943,0.986924,0.984558,0.982847,0.978762,0.984784,0.982945,0.989653,0.985158,0.986385,0.982598,0.988388,0.981039,0.984286,0.986197
0.985433,0.987952,0.991157,0.987323,0.986364,0.982234,0.981603,0.984881,0.981721,0.990819,0.982359,0.984654,0.982714,0.987592,0.983490,0.983995,0.988526
0.988192,0.987656,0.988902,0.986765,0.985866,0.981948,0.978612,0.983340,0.984245,0.991256,0.983716,0.985693,0.983999,0.987195,0.984798,0.984214,0.987664
0.984855,0.988297,0.988382,0.985648,0.984932,0.980845,0.979809,0.984206,0.980574,0.990528,0.983716,0.986327,0.985284,0.988149,0.984253,0.985305,0.984472
0.985048,0.987458,0.989249,0.984532,0.984683,0.980845,0.978163,0.984014,0.981491,0.992131,0.983377,0.984193,0.982948,0.985922,0.983109,0.983413,0.984041
0.983315,0.985483,0.990810,0.983495,0.983375,0.980396,0.979510,0.983629,0.981797,0.990090,0.981851,0.982405,0.983765,0.988229,0.983327,0.984505,0.984299
0.984406,0.985483,0.986128,0.982778,0.984869,0.980151,0.975621,0.982280,0.981874,0.988633,0.982190,0.984770,0.982247,0.985684,0.984798,0.983850,0.982919
0.983572,0.986717,0.986301,0.983177,0.985056,0.980396,0.976967,0.982762,0.981185,0.987904,0.982444,0.982462,0.984349,0.987354,0.982891,0.982540,0.984558
0.985304,0.985187,0.986995,0.981263,0.985118,0.980764,0.976967,0.983725,0.980727,0.988633,0.983547,0.985693,0.983999,0.985604,0.983981,0.983122,0.984213
0.983828,0.984693,0.988556,0.980227,0.983313,0.979824,0.977416,0.982184,0.980497,0.989216,0.982105,0.982462,0.983181,0.987195,0.985179,0.983195,0.983264
0.984470,0.982915,0.983007,0.980466,0.984309,0.979579,0.978612,0.983436,0.981874,0.985281,0.981681,0.983212,0.982948,0.984809,0.984253,0.984650,0.983437
0.983572,0.983458,0.988209,0.981502,0.983624,0.979334,0.974574,0.981606,0.978891,0.986447,0.980409,0.983904,0.982247,0.986002,0.984689,0.982322,0.983178
0.984663,0.982471,0.986648,0.981901,0.983562,0.978967,0.976518,0.980836,0.981797,0.984990,0.981681,0.984020,0.982948,0.985127,0.984471,0.980794,0.985507
0.985176,0.982422,0.985434,0.981263,0.984620,0.980764,0.978612,0.982377,0.982792,0.982804,0.981427,0.984654,0.982247,0.984729,0.983763,0.982613,0.984472
0.984791,0.982175,0.984914,0.983894,0.985430,0.981172,0.980556,0.981703,0.981491,0.981492,0.983208,0.985116,0.982364,0.985525,0.984798,0.983559,0.985766
0.984663,0.981977,0.983700,0.983974,0.984807,0.981907,0.981753,0.984014,0.982409,0.981201,0.982359,0.983789,0.983882,0.985365,0.985888,0.986323,0.983954
