Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.990857,0.989823,0.993302,0.992708,0.989361,0.988779,0.998201,0.988736,0.989171,0.992231,0.989655,0.991555,0.990726,0.985733,0.988475,0.991305,0.992473,0.992298
0.992163,0.990477,0.992773,0.992398,0.988969,0.990505,0.997481,0.989392,0.988749,0.990752,0.989368,0.991316,0.993084,0.988280,0.987726,0.991143,0.991055,0.992237
0.990716,0.991158,0.993125,0.992320,0.989056,0.988434,0.997121,0.989089,0.990285,0.989642,0.989440,0.992830,0.989940,0.985478,0.986228,0.991899,0.988710,0.992390
0.990434,0.990381,0.990658,0.992165,0.988097,0.988606,0.995412,0.988029,0.988173,0.991566,0.990014,0.991237,0.989154,0.985478,0.987726,0.991035,0.989582,0.991377
0.990151,0.989973,0.992773,0.990148,0.989492,0.988917,0.992623,0.988332,0.987597,0.990826,0.989368,0.990519,0.988054,0.986497,0.987496,0.990279,0.989473,0.991470
0.989728,0.989591,0.992244,0.989838,0.989710,0.988434,0.990913,0.987725,0.987290,0.990234,0.988218,0.990918,0.989312,0.990064,0.987899,0.991737,0.989473,0.991224
0.987998,0.989196,0.989776,0.989605,0.990015,0.988399,0.990283,0.987725,0.988211,0.990012,0.988075,0.990599,0.988211,0.987516,0.987438,0.990981,0.988928,0.990580
0.986374,0.988065,0.988719,0.987743,0.989318,0.986258,0.991903,0.988281,0.987059,0.989716,0.987500,0.990679,0.986797,0.986242,0.986631,0.990711,0.986637,0.990211
0.986868,0.987452,0.988542,0.988054,0.988053,0.986569,0.991093,0.988079,0.986253,0.988458,0.987284,0.990599,0.986325,0.985478,0.986862,0.989523,0.985873,0.990058
0.985244,0.986349,0.986427,0.985649,0.987574,0.985154,0.990104,0.987069,0.984717,0.987718,0.988793,0.990838,0.987425,0.985987,0.985709,0.989037,0.985928,0.989322
0.984185,0.986948,0.986956,0.986580,0.987835,0.985361,0.988934,0.987473,0.985600,0.987718,0.988075,0.991237,0.987740,0.987006,0.985594,0.988011,0.985819,0.989475
0.984291,0.985899,0.986956,0.986114,0.986004,0.985223,0.991363,0.986109,0.984064,0.989420,0.988721,0.990280,0.989626,0.986497,0.984499,0.987957,0.985055,0.988002
0.983268,0.985204,0.984135,0.983477,0.985088,0.983945,0.991363,0.985149,0.983911,0.986535,0.986422,0.989085,0.986639,0.983694,0.983693,0.988011,0.984073,0.988186
0.983938,0.984877,0.986427,0.984640,0.984783,0.984912,0.990823,0.984644,0.982759,0.987126,0.987213,0.988368,0.983967,0.983694,0.984614,0.987633,0.983310,0.988125
0.982032,0.983814,0.984488,0.985106,0.982385,0.983565,0.990823,0.984341,0.981914,0.987200,0.986710,0.988607,0.985225,0.980892,0.983404,0.985419,0.983310,0.986683
0.982632,0.984645,0.985722,0.984563,0.984521,0.983600,0.994332,0.984998,0.981299,0.985499,0.986063,0.986536,0.985382,0.982675,0.983577,0.984015,0.984728,0.987204
0.982420,0.984250,0.985017,0.985959,0.983780,0.982391,0.992982,0.986160,0.980992,0.986682,0.985417,0.986934,0.986011,0.981147,0.981791,0.984609,0.982655,0.985946
0.981220,0.982697,0.984840,0.983710,0.981949,0.981943,0.994062,0.983078,0.981261,0.986387,0.986135,0.987890,0.985068,0.978599,0.982367,0.984987,0.982546,0.985946
0.981149,0.982820,0.982725,0.984330,0.982603,0.981943,0.993522,0.983078,0.980263,0.986682,0.985991,0.986456,0.984282,0.981401,0.981330,0.983637,0.983255,0.986406
0.982279,0.983229,0.984488,0.983011,0.983257,0.982909,0.989564,0.981765,0.980455,0.985869,0.985704,0.987731,0.986797,0.984204,0.982252,0.983799,0.983255,0.985854
0.982491,0.982888,0.983430,0.985028,0.982647,0.981632,0.986685,0.983028,0.980570,0.982909,0.983405,0.988368,0.984910,0.982420,0.981272,0.983421,0.983801,0.984872
0.981644,0.981294,0.985898,0.983244,0.983126,0.980665,0.981107,0.981260,0.978035,0.983131,0.982543,0.985580,0.983338,0.980382,0.981618,0.982395,0.983419,0.984412
0.982597,0.981008,0.985193,0.985339,0.982123,0.979318,0.983266,0.980351,0.979226,0.984315,0.984124,0.987333,0.982710,0.984459,0.979774,0.982017,0.984728,0.983737
0.982420,0.980517,0.986956,0.983554,0.980728,0.980631,0.984705,0.977471,0.979226,0.983205,0.984626,0.985580,0.981295,0.978599,0.979025,0.981422,0.985055,0.982755
0.982950,0.980804,0.987308,0.984097,0.980685,0.980285,0.984705,0.977724,0.979418,0.983353,0.982615,0.986138,0.983181,0.981656,0.980581,0.983907,0.986364,0.982970
0.983585,0.981362,0.990658,0.984563,0.982167,0.981597,0.983446,0.979795,0.979418,0.984759,0.984124,0.987970,0.982710,0.979618,0.980120,0.984825,0.985491,0.983123
0.986021,0.983065,0.988542,0.984640,0.981644,0.982046,0.987584,0.979845,0.981069,0.984833,0.984483,0.987811,0.980824,0.982675,0.980811,0.986661,0.986310,0.985087
0.985350,0.982329,0.986603,0.984718,0.981862,0.982150,0.990193,0.979391,0.980263,0.983871,0.982687,0.985899,0.980666,0.977580,0.979198,0.982341,0.984728,0.983829
0.983479,0.982166,0.989952,0.984640,0.980249,0.980147,0.986235,0.979643,0.978765,0.982761,0.984267,0.987014,0.981452,0.983694,0.977642,0.980936,0.981837,0.984197
0.983162,0.981989,0.986956,0.982779,0.981251,0.980700,0.987314,0.981209,0.978189,0.983353,0.981825,0.984146,0.982553,0.977325,0.977815,0.981531,0.982982,0.982908
0.982809,0.981035,0.986251,0.982624,0.980205,0.979526,0.989294,0.980098,0.977383,0.983353,0.981753,0.983987,0.980509,0.979618,0.976835,0.982287,0.982601,0.982632
0.979773,0.979618,0.983959,0.982313,0.980249,0.978559,0.991093,0.978835,0.977152,0.983131,0.981681,0.984544,0.980981,0.975796,0.976086,0.980612,0.980310,0.982325
0.979384,0.979918,0.983959,0.982081,0.978940,0.976694,0.991273,0.979391,0.975731,0.982465,0.980819,0.983509,0.978623,0.975796,0.976374,0.980126,0.979710,0.982387
0.979031,0.979741,0.984312,0.981615,0.979507,0.978386,0.987854,0.979189,0.975885,0.981207,0.981250,0.984943,0.980824,0.975796,0.976029,0.980990,0.978837,0.982878
0.977761,0.978910,0.983959,0.982934,0.978635,0.978352,0.987674,0.976714,0.975117,0.982613,0.982256,0.984783,0.980195,0.977834,0.975279,0.978722,0.979546,0.980883
0.976454,0.976512,0.980963,0.979753,0.977894,0.976798,0.984345,0.977118,0.974925,0.980690,0.980963,0.982871,0.979881,0.971720,0.974646,0.978236,0.978455,0.979318
0.975890,0.976021,0.981315,0.978978,0.975888,0.975141,0.982726,0.978179,0.973120,0.979802,0.980101,0.984226,0.977680,0.974777,0.976835,0.976616,0.977801,0.979318
0.976207,0.977697,0.980081,0.977038,0.978025,0.975279,0.980657,0.977774,0.973965,0.981799,0.981106,0.984943,0.980195,0.976815,0.977123,0.979478,0.978564,0.980638
0.975748,0.977438,0.982549,0.979986,0.977502,0.974968,0.981646,0.975501,0.973428,0.979802,0.979095,0.981995,0.977366,0.976561,0.975452,0.979100,0.980364,0.980147
0.974795,0.976348,0.981315,0.976961,0.976281,0.973311,0.981377,0.974188,0.972314,0.978544,0.978161,0.981119,0.976108,0.975542,0.975279,0.976832,0.977746,0.978121
0.975395,0.976430,0.981139,0.976107,0.976586,0.974105,0.981377,0.976411,0.974195,0.979284,0.979023,0.982632,0.976265,0.976306,0.974991,0.978614,0.978128,0.978213
0.976066,0.976267,0.983607,0.977193,0.977938,0.974795,0.979487,0.976815,0.973543,0.979580,0.978951,0.983349,0.979095,0.976561,0.975337,0.978560,0.979819,0.977692
0.974513,0.976335,0.979552,0.977426,0.976935,0.973794,0.982546,0.976057,0.972928,0.979580,0.977874,0.981437,0.977208,0.974777,0.974358,0.978560,0.979164,0.978091
0.973560,0.975477,0.976379,0.976650,0.974275,0.972758,0.981287,0.976815,0.972468,0.977878,0.978233,0.982075,0.977366,0.975542,0.972859,0.976832,0.976765,0.977845
0.974372,0.976580,0.980081,0.975564,0.976194,0.972793,0.978408,0.976310,0.973351,0.978766,0.976796,0.983270,0.978309,0.976561,0.973032,0.977642,0.976655,0.977232
0.974125,0.976158,0.981491,0.977659,0.976281,0.974001,0.977868,0.975602,0.972160,0.979136,0.976796,0.982473,0.977837,0.977834,0.974876,0.977534,0.977528,0.978336
0.974054,0.974700,0.978671,0.975487,0.972270,0.972448,0.977148,0.973834,0.971124,0.975511,0.974282,0.977374,0.974693,0.972994,0.971188,0.974996,0.973492,0.976925
0.975748,0.972697,0.981491,0.975099,0.972008,0.972068,0.980297,0.971864,0.969242,0.975511,0.973779,0.979924,0.972650,0.971465,0.970381,0.972620,0.975455,0.974378
0.975713,0.972738,0.980786,0.975797,0.971528,0.972171,0.979217,0.971056,0.970279,0.976546,0.975718,0.981119,0.974065,0.969427,0.970151,0.974456,0.977964,0.975298
0.975219,0.973297,0.982196,0.976573,0.973621,0.972102,0.979037,0.971359,0.970816,0.977064,0.974282,0.981836,0.976108,0.975287,0.971419,0.975590,0.979383,0.974715
0.975607,0.972220,0.981491,0.974944,0.972531,0.971481,0.977778,0.969339,0.969818,0.976694,0.974497,0.981517,0.972493,0.970191,0.969517,0.975050,0.976001,0.974071
0.976278,0.973501,0.983607,0.975409,0.972488,0.971515,0.978498,0.972269,0.969204,0.975289,0.973707,0.978729,0.974065,0.973758,0.968826,0.975320,0.975837,0.973979
0.977019,0.974032,0.980081,0.977581,0.974057,0.972033,0.976068,0.972521,0.970970,0.975511,0.974784,0.979446,0.974379,0.971210,0.969459,0.976454,0.976601,0.975728
0.975819,0.974223,0.981844,0.977349,0.974755,0.972931,0.977058,0.972824,0.970701,0.973957,0.973922,0.979764,0.971550,0.971720,0.970324,0.976886,0.976383,0.976250
0.974725,0.973814,0.982373,0.975021,0.974057,0.970618,0.978947,0.972572,0.969818,0.973883,0.975000,0.979207,0.971864,0.969936,0.969575,0.973268,0.975128,0.976250
0.974725,0.972520,0.978847,0.975564,0.973054,0.969444,0.977778,0.971713,0.969818,0.973661,0.974713,0.978649,0.971393,0.970191,0.970093,0.973646,0.973819,0.974869
0.974054,0.973937,0.979376,0.975875,0.973360,0.971136,0.975888,0.972824,0.969741,0.975733,0.975000,0.979764,0.972336,0.973503,0.970785,0.973970,0.975019,0.975176
0.973383,0.972588,0.979729,0.975642,0.974232,0.970963,0.976158,0.970501,0.968973,0.974771,0.975000,0.978808,0.970607,0.971720,0.971592,0.973808,0.974310,0.975114
0.972324,0.971171,0.977966,0.972849,0.972749,0.969927,0.977418,0.971208,0.968205,0.974623,0.974713,0.977852,0.971393,0.968408,0.969863,0.972512,0.972946,0.973918
0.970948,0.970953,0.976908,0.973315,0.971485,0.968719,0.974899,0.970955,0.966976,0.975659,0.974425,0.978330,0.970450,0.967389,0.969517,0.972404,0.971474,0.974163
0.971406,0.970654,0.976203,0.972849,0.972706,0.968995,0.974269,0.971612,0.967591,0.973809,0.974138,0.978808,0.972964,0.970955,0.970266,0.972836,0.972074,0.972844
0.970595,0.969591,0.976732,0.970367,0.969087,0.966543,0.976968,0.968228,0.965863,0.974327,0.973420,0.976498,0.969664,0.968663,0.968249,0.971324,0.970492,0.971862
0.969288,0.968446,0.974264,0.971220,0.968389,0.966751,0.978048,0.966662,0.966208,0.972995,0.972701,0.977374,0.970292,0.968917,0.966924,0.970190,0.970874,0.971678
0.969889,0.968814,0.973030,0.970988,0.968171,0.965439,0.977598,0.968783,0.965632,0.973217,0.971552,0.978410,0.970450,0.967389,0.966002,0.971108,0.970492,0.971923
0.969747,0.968991,0.972678,0.972461,0.970438,0.966371,0.973819,0.968126,0.967015,0.974253,0.971983,0.978330,0.972021,0.972484,0.967270,0.971108,0.970601,0.972261
0.969818,0.968433,0.971796,0.969902,0.969523,0.966060,0.974629,0.967823,0.964557,0.972477,0.971264,0.976259,0.973436,0.966624,0.966521,0.969487,0.970492,0.971217
0.968476,0.968419,0.972149,0.970212,0.966994,0.966992,0.974269,0.967571,0.964096,0.971441,0.971336,0.975781,0.971393,0.965605,0.965772,0.968407,0.970328,0.970419
0.969571,0.968583,0.972325,0.972151,0.969305,0.966578,0.971750,0.968430,0.964135,0.972329,0.971839,0.977852,0.970292,0.969682,0.965944,0.970622,0.971856,0.969652
0.969253,0.968923,0.975498,0.972772,0.969523,0.966095,0.970490,0.969389,0.964864,0.972773,0.971049,0.976259,0.971078,0.969936,0.968422,0.971972,0.970383,0.970788
0.968371,0.967765,0.972678,0.972151,0.969217,0.965093,0.969411,0.968076,0.963828,0.972773,0.972055,0.976657,0.968720,0.967643,0.967673,0.970622,0.969347,0.970266
0.980020,0.969155,0.977613,0.975332,0.968781,0.967476,0.970670,0.969086,0.964404,0.971219,0.971624,0.977693,0.971393,0.971465,0.966694,0.970136,0.972783,0.971309
1.07689,0.993120,1.02873,1.02700,0.971746,0.991852,0.985785,0.966561,0.963290,0.986313,0.994253,0.996176,0.981452,0.993885,0.965772,0.975806,0.978292,0.978827
1.06171,1.01846,1.08426,1.05446,0.987007,1.02058,1.01700,0.969945,0.964941,0.998446,1.01451,1.01745,1.00472,1.00892,0.974242,0.983853,0.979819,0.989383
1.03438,1.01297,1.09431,1.05166,0.997645,1.02672,1.02501,0.984796,0.974810,0.998816,1.00409,1.01649,1.00880,0.996433,0.986286,0.991413,0.987673,0.992022
1.03265,1.00567,1.09713,1.04546,1.00336,1.02503,1.02438,0.999848,0.979840,0.994081,0.997342,1.00470,1.00204,0.990064,0.983981,0.997840,1.00556,0.991930
1.03403,1.00323,1.09448,1.04352,1.00964,1.02189,1.02330,1.01172,0.984717,0.985277,0.992744,0.986058,0.985068,0.989045,0.972859,0.999892,1.01494,0.991040
1.03396,1.00384,1.09025,1.03956,1.00955,1.01944,1.02501,1.01500,0.986714,0.978988,0.978089,0.977693,0.973908,0.980637,0.963928,0.999460,1.01664,0.991654
1.03188,1.00166,1.08144,1.03421,1.00523,1.01785,1.02672,1.01495,0.986983,0.973735,0.969612,0.973391,0.969035,0.969682,0.960989,0.995194,1.01565,0.990672
1.02916,0.996826,1.07033,1.02653,0.997035,1.01060,1.02123,1.00864,0.982067,0.972551,0.965733,0.971240,0.966048,0.965350,0.961738,0.989037,1.00769,0.987603
