Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.994198,0.994261,0.995096,0.995740,0.994410,0.993947,0.997279,0.991422,0.993166,0.995228,0.993997,0.995221,0.993870,0.995251,0.993641,0.996354,0.998087,0.994519
0.993056,0.994089,0.995542,0.992254,0.995178,0.992786,0.994557,0.990160,0.992769,0.997137,0.994373,0.995637,0.993870,0.992537,0.995813,0.996084,0.991392,0.994062
0.992616,0.995120,0.988408,0.991673,0.992657,0.990962,0.994376,0.988142,0.994057,0.996755,0.996811,0.991481,0.993461,0.993894,0.991005,0.993924,0.991802,0.992388
0.990770,0.993024,0.987517,0.990705,0.991780,0.990298,0.994195,0.990286,0.992670,0.993892,0.994185,0.991481,0.993461,0.993216,0.991315,0.995274,0.989206,0.992845
0.990682,0.993196,0.990192,0.988768,0.992547,0.988640,0.994920,0.989908,0.991977,0.993892,0.991184,0.992105,0.990601,0.995251,0.991005,0.995544,0.986610,0.991551
0.990331,0.990928,0.986179,0.988768,0.991122,0.988060,0.992380,0.988647,0.992968,0.993892,0.994373,0.993144,0.991827,0.987788,0.991005,0.990143,0.986337,0.991551
0.989627,0.992612,0.987071,0.988381,0.990574,0.988723,0.990566,0.984483,0.991977,0.995228,0.992122,0.996260,0.988966,0.986432,0.990385,0.990818,0.987840,0.991322
0.987957,0.991546,0.989300,0.990511,0.991999,0.986899,0.991110,0.987259,0.991482,0.993319,0.991559,0.992728,0.990192,0.990502,0.988213,0.989873,0.985790,0.990865
0.986551,0.990756,0.980383,0.986832,0.991013,0.989469,0.990566,0.985367,0.990590,0.991602,0.990433,0.990443,0.991827,0.993216,0.989919,0.988388,0.989343,0.988353
0.986639,0.991271,0.983058,0.988768,0.990684,0.988308,0.990566,0.987511,0.989996,0.992556,0.990058,0.992728,0.992644,0.993894,0.988058,0.989603,0.985517,0.990409
