Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.991169,0.983464,0.982205,0.990427,0.989513,0.987715,0.986922,0.988645,0.986056,0.987669,0.984603,0.986339,0.988682,0.987342,0.988192,0.986230,0.989582,0.991284,0.984822,0.988905,0.985690,0.986730
0.990577,0.985869,0.983720,0.991845,0.991637,0.987989,0.988439,0.989926,0.988878,0.989494,0.987125,0.987618,0.992193,0.990219,0.991572,0.989960,0.989497,0.997897,0.985537,0.993723,0.989822,0.987594
0.993188,0.989556,0.988230,0.994954,0.995885,0.991005,0.988773,0.989722,0.995319,0.988483,0.991022,0.989300,0.995861,0.994792,0.996238,0.993073,0.990479,1.00298,0.988269,1.00411,0.993202,0.994820
0.988046,0.987088,0.985975,0.990291,0.989247,0.988702,0.990108,0.987742,0.988646,0.987713,0.988042,0.987102,0.988892,0.988342,0.989287,0.987324,0.987575,0.991743,0.985831,0.986361,0.985953,0.987722
0.990523,0.989350,0.990063,0.992009,0.991106,0.987660,0.991413,0.988732,0.991767,0.986856,0.987392,0.986990,0.993031,0.987584,0.990334,0.989539,0.987874,0.993884,0.987134,0.996946,0.985953,0.988329
0.991923,0.993591,0.995771,0.995691,0.991836,0.989689,0.995054,0.992867,0.997776,0.990461,0.992741,0.991678,0.994813,0.992702,0.992239,0.991110,0.992571,0.998968,0.991086,1.00214,0.992113,0.992518
0.989338,0.986629,0.990204,0.988982,0.986924,0.986947,0.989805,0.987975,0.984861,0.986746,0.986781,0.988111,0.989468,0.988220,0.987858,0.985136,0.988472,0.987270,0.985410,0.985411,0.987193,0.985963
0.989284,0.985490,0.987385,0.986309,0.985796,0.985576,0.985617,0.985442,0.985791,0.985647,0.984909,0.985016,0.988997,0.986040,0.986287,0.986286,0.987789,0.988608,0.982299,0.985445,0.986854,0.985004
0.988854,0.985015,0.985940,0.987754,0.987654,0.988811,0.984677,0.985966,0.988779,0.986636,0.991595,0.985576,0.988577,0.989008,0.985716,0.985977,0.988472,0.991972,0.984443,0.985682,0.986779,0.984076
0.988719,0.979793,0.979844,0.983036,0.980950,0.984972,0.980611,0.982181,0.977889,0.984834,0.982693,0.982010,0.982080,0.983860,0.981145,0.980621,0.982921,0.980771,0.981416,0.972552,0.982648,0.983597
0.987857,0.980094,0.979033,0.985491,0.983008,0.985301,0.981400,0.983637,0.980313,0.984329,0.983915,0.982212,0.983652,0.985344,0.981526,0.981771,0.985355,0.986353,0.980449,0.977709,0.982310,0.985739
0.988746,0.981454,0.980971,0.985218,0.985663,0.986124,0.981308,0.984365,0.984695,0.984175,0.986246,0.982481,0.985538,0.985223,0.981335,0.982864,0.987404,0.987920,0.982089,0.981814,0.984789,0.984300
0.985192,0.978258,0.976320,0.981072,0.980619,0.985356,0.980428,0.982530,0.979350,0.981207,0.982043,0.979879,0.978150,0.981891,0.976859,0.978377,0.983220,0.979816,0.977170,0.972959,0.981183,0.979440
0.986134,0.979714,0.977165,0.984836,0.982942,0.981572,0.977394,0.981307,0.982935,0.980350,0.982540,0.979049,0.985748,0.981074,0.980621,0.979976,0.984373,0.986391,0.979356,0.984631,0.979643,0.981039
