Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.986513,0.978682,0.977820,0.982018,0.983271,0.981322,0.973097,0.984240,0.977068,0.984796,0.984361,0.980573,0.983426,0.985445,0.984280,0.981714,0.982991,0.989651,0.982056,0.986482,0.982615,0.984997
0.987790,0.980347,0.978316,0.981290,0.983962,0.981895,0.972005,0.985493,0.976829,0.984959,0.985830,0.981235,0.982699,0.984834,0.984361,0.983825,0.984017,0.989095,0.982822,0.987190,0.981888,0.986053
0.987484,0.979455,0.979592,0.980458,0.983271,0.982926,0.976316,0.985434,0.975993,0.985774,0.985022,0.981942,0.982860,0.984039,0.984685,0.982567,0.982222,0.989164,0.984267,0.983412,0.983220,0.986023
0.988863,0.984450,0.984694,0.986487,0.985898,0.986937,0.984364,0.985732,0.985428,0.988342,0.987959,0.985474,0.986984,0.988320,0.986630,0.984904,0.986496,0.989998,0.986564,0.986246,0.986855,0.987261
0.994330,0.994083,0.998158,0.994023,0.995714,0.994385,1.00040,0.992120,0.996715,0.991644,0.994200,0.991523,0.992481,0.992111,0.991087,0.989936,0.992906,0.995416,0.992516,0.992975,0.992125,0.990219
0.998008,0.998989,1.00340,0.999948,0.999447,0.998396,1.00724,0.996358,1.00460,0.995557,0.996329,0.996909,0.997736,0.997003,0.995138,0.992407,0.996068,0.998889,0.997959,0.996104,0.998607,0.994446
0.995709,0.994619,0.996669,0.995634,0.994332,0.996906,0.997528,0.995523,0.996178,0.994456,0.995374,0.994172,0.992643,0.996942,0.991735,0.991329,0.992650,0.995624,0.994302,0.992975,0.993518,0.994083
0.994125,0.987156,0.987953,0.989865,0.988525,0.989000,0.985399,0.989553,0.985667,0.990666,0.992511,0.988830,0.989571,0.989420,0.988251,0.989397,0.989402,0.991040,0.990560,0.990201,0.988309,0.989857
0.989527,0.983142,0.981859,0.987059,0.988248,0.988198,0.976546,0.987881,0.979576,0.988791,0.991410,0.984768,0.986013,0.987035,0.985658,0.988992,0.986325,0.991526,0.986393,0.990850,0.986673,0.987231
0.988352,0.979009,0.978600,0.981758,0.983686,0.983385,0.971085,0.984717,0.975037,0.986549,0.987518,0.981898,0.984154,0.983916,0.981687,0.986881,0.982650,0.988886,0.982737,0.986246,0.982493,0.983668
0.985032,0.975174,0.975482,0.981498,0.980091,0.977426,0.966946,0.982747,0.971275,0.984103,0.982673,0.978542,0.979465,0.981348,0.978284,0.984140,0.981966,0.985205,0.980015,0.982704,0.981100,0.981314
0.985083,0.974312,0.972151,0.978016,0.976773,0.976624,0.968728,0.979225,0.968767,0.981413,0.981938,0.975761,0.979707,0.980125,0.978689,0.981175,0.978803,0.983816,0.977804,0.980815,0.979707,0.979653
0.983448,0.973777,0.970380,0.978120,0.978017,0.975134,0.965509,0.978031,0.968229,0.979497,0.980764,0.974966,0.978737,0.979330,0.977068,0.979467,0.980171,0.984927,0.977039,0.983117,0.978374,0.978084
0.981814,0.971963,0.969104,0.976197,0.974285,0.973760,0.965854,0.978091,0.965841,0.979456,0.980690,0.973906,0.975422,0.977740,0.976339,0.978119,0.976923,0.980065,0.975508,0.976505,0.976739,0.977299
0.981507,0.972230,0.970096,0.976041,0.975252,0.972270,0.965682,0.977315,0.967214,0.979619,0.978194,0.973465,0.975907,0.976150,0.973827,0.977984,0.977180,0.980412,0.975253,0.978099,0.976496,0.975789
0.982631,0.972855,0.970947,0.977600,0.976773,0.974447,0.965854,0.978688,0.968826,0.980027,0.979736,0.975098,0.975907,0.977128,0.975934,0.976996,0.977778,0.980412,0.975253,0.979457,0.977284,0.976967
0.982631,0.974906,0.973002,0.979887,0.978294,0.976853,0.968441,0.977852,0.970260,0.981372,0.983480,0.975893,0.979060,0.979941,0.978365,0.978209,0.978974,0.983399,0.977294,0.984061,0.979040,0.978778
0.981814,0.973063,0.972931,0.977548,0.977741,0.975708,0.966027,0.978509,0.968707,0.980271,0.981057,0.975540,0.976473,0.978718,0.974718,0.977895,0.975299,0.982496,0.976614,0.980874,0.977405,0.975971
0.983039,0.971606,0.972364,0.977028,0.975944,0.976280,0.966774,0.979046,0.967274,0.980557,0.980029,0.974568,0.976797,0.979269,0.976015,0.976816,0.973846,0.979648,0.975168,0.978512,0.976557,0.975880
0.981609,0.971666,0.972647,0.977808,0.978847,0.976395,0.965337,0.979046,0.967692,0.978845,0.979589,0.973994,0.976150,0.979819,0.975286,0.975828,0.976154,0.980065,0.975423,0.980165,0.975103,0.973797
0.982069,0.972914,0.972151,0.979939,0.976635,0.974562,0.963957,0.978449,0.968826,0.979578,0.977460,0.974833,0.980273,0.979024,0.976420,0.976771,0.976838,0.983955,0.975593,0.982704,0.976133,0.974823
0.981149,0.970506,0.970309,0.976508,0.975805,0.974562,0.965624,0.977315,0.966259,0.977744,0.978708,0.973994,0.978009,0.976639,0.973260,0.975154,0.976325,0.981663,0.974318,0.981405,0.977466,0.976484
0.981047,0.971547,0.969813,0.978068,0.975944,0.974905,0.965854,0.977315,0.967274,0.978111,0.975844,0.973332,0.977524,0.977556,0.971963,0.974705,0.973932,0.980412,0.973892,0.980992,0.976496,0.977299
0.982682,0.972379,0.971372,0.978276,0.976773,0.973645,0.966774,0.978151,0.968468,0.976888,0.977239,0.974745,0.978656,0.977984,0.973179,0.976726,0.976239,0.982357,0.974233,0.982940,0.976557,0.976303
0.982427,0.973004,0.970522,0.978483,0.978709,0.975708,0.967176,0.978449,0.966796,0.977907,0.978120,0.973950,0.981001,0.978963,0.975529,0.976592,0.977265,0.986247,0.977464,0.982763,0.977102,0.976906
0.981149,0.972855,0.971301,0.976301,0.976773,0.975937,0.966716,0.977733,0.966796,0.978926,0.977533,0.973244,0.977039,0.977679,0.975205,0.977625,0.975470,0.982010,0.976359,0.979280,0.976799,0.978536
0.981456,0.972647,0.972860,0.976872,0.978017,0.974791,0.967579,0.977374,0.967871,0.978804,0.977460,0.973862,0.977929,0.978412,0.974637,0.978973,0.973675,0.980829,0.977124,0.980992,0.975830,0.977691
0.982835,0.975620,0.975411,0.978951,0.979400,0.979260,0.971085,0.980658,0.969185,0.978559,0.978488,0.976555,0.981001,0.981287,0.977798,0.979782,0.976838,0.985900,0.976869,0.984711,0.978071,0.979502
0.985287,0.979663,0.982001,0.984096,0.983133,0.982239,0.979191,0.982509,0.977426,0.981046,0.980984,0.980352,0.982941,0.983549,0.980148,0.981938,0.980855,0.986803,0.982311,0.985891,0.981645,0.980529
0.987944,0.985550,0.990079,0.988982,0.988940,0.985677,0.989883,0.985374,0.985608,0.985448,0.984068,0.984061,0.986903,0.986179,0.982903,0.983196,0.983590,0.987011,0.984608,0.984593,0.984614,0.984755
0.991622,0.990575,0.993906,0.993088,0.990599,0.989343,0.997586,0.989792,0.991579,0.987527,0.989280,0.988653,0.988843,0.988442,0.985901,0.985308,0.987521,0.990345,0.987839,0.986777,0.990066,0.988348
0.990600,0.987156,0.991426,0.989398,0.988801,0.987395,0.990745,0.987404,0.986265,0.985163,0.987518,0.985651,0.987064,0.988197,0.984199,0.983870,0.984872,0.990276,0.985798,0.989197,0.987097,0.984816
0.986258,0.979396,0.981718,0.982745,0.984239,0.983041,0.977466,0.984956,0.976471,0.981983,0.982599,0.980441,0.982294,0.983305,0.978770,0.980635,0.981538,0.985622,0.982822,0.985124,0.982493,0.982672
0.984163,0.973955,0.975057,0.978535,0.976911,0.977770,0.969246,0.979165,0.968528,0.979578,0.981351,0.976820,0.977363,0.978229,0.976825,0.977400,0.977436,0.979996,0.978995,0.981346,0.978556,0.979623
0.980230,0.969941,0.969742,0.974534,0.972764,0.974676,0.962520,0.977434,0.964586,0.976236,0.978047,0.972935,0.975584,0.975477,0.974637,0.976232,0.976667,0.978259,0.975508,0.976978,0.975042,0.976605
0.978595,0.968663,0.968254,0.974066,0.974561,0.973187,0.959933,0.976778,0.965303,0.974850,0.974963,0.970815,0.976150,0.974682,0.972044,0.974794,0.973504,0.977565,0.973042,0.978749,0.974073,0.974310
