Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.993644,0.988174,0.984728,0.989936,0.991050,0.992230,0.987996,0.989045,0.988475,0.990629,0.990308,0.988141,0.990052,0.991510,0.988247,0.990549,0.990767,0.994014,0.989148,0.988556,0.990812,0.990938
0.992452,0.987140,0.985224,0.989187,0.990351,0.988952,0.988180,0.988657,0.985877,0.989146,0.989645,0.986803,0.989378,0.991114,0.988151,0.989754,0.988736,0.993043,0.986221,0.986694,0.989300,0.990208
0.991487,0.987058,0.985606,0.989607,0.989302,0.990469,0.987506,0.987558,0.985694,0.987663,0.989728,0.985793,0.989223,0.989826,0.988102,0.988576,0.988551,0.993933,0.986311,0.985645,0.989857,0.989710
0.990380,0.989092,0.988050,0.989996,0.989162,0.989073,0.989802,0.988301,0.988365,0.986627,0.989355,0.986474,0.989067,0.990420,0.987135,0.989871,0.988412,0.992882,0.985861,0.989809,0.987709,0.988681
0.990551,0.987583,0.989997,0.988469,0.987904,0.988345,0.989190,0.988366,0.988987,0.986674,0.989355,0.987249,0.989119,0.988603,0.985394,0.988900,0.988597,0.989767,0.988067,0.989877,0.987709,0.989179
0.990125,0.988174,0.991791,0.988558,0.987135,0.989255,0.988363,0.989336,0.989902,0.986368,0.987781,0.986709,0.990155,0.989760,0.985926,0.987045,0.988551,0.991062,0.989013,0.990148,0.987749,0.990440
0.990380,0.988469,0.991104,0.988528,0.988743,0.990712,0.988057,0.988722,0.988695,0.986533,0.987905,0.986450,0.990518,0.989165,0.984958,0.986691,0.989105,0.990334,0.987122,0.988353,0.987589,0.987752
0.991374,0.988666,0.988737,0.989068,0.989302,0.989984,0.987353,0.988011,0.988365,0.987946,0.989397,0.986920,0.992124,0.989297,0.985732,0.987692,0.990721,0.990536,0.987482,0.987168,0.990454,0.990374
0.990920,0.985205,0.985759,0.987031,0.988673,0.986584,0.983984,0.985167,0.983682,0.984979,0.986497,0.984595,0.989171,0.986621,0.984378,0.986103,0.987304,0.986613,0.985591,0.984900,0.985959,0.986524
0.991374,0.984368,0.983392,0.985863,0.985457,0.985977,0.982361,0.984456,0.984743,0.984155,0.986746,0.983609,0.987824,0.986192,0.982685,0.984778,0.987166,0.987947,0.985366,0.985543,0.985998,0.987154
0.992509,0.984106,0.982437,0.986042,0.987764,0.986645,0.982300,0.984359,0.984853,0.984673,0.985959,0.982364,0.989119,0.987844,0.984185,0.986456,0.988643,0.989525,0.985591,0.989132,0.987033,0.988814
0.992452,0.983958,0.982208,0.987839,0.988114,0.986463,0.981259,0.984391,0.985987,0.985191,0.986994,0.983186,0.988083,0.987976,0.983266,0.985543,0.988643,0.988069,0.985546,0.987676,0.986078,0.987088
0.991714,0.981891,0.978543,0.983227,0.982800,0.984277,0.979084,0.981353,0.981743,0.983072,0.984550,0.980227,0.984767,0.984342,0.980509,0.983335,0.984304,0.986087,0.982709,0.982767,0.982777,0.986026
0.989955,0.981055,0.978849,0.982358,0.983429,0.984763,0.979268,0.980933,0.981341,0.980882,0.985213,0.980086,0.983316,0.983913,0.980654,0.982393,0.984027,0.986168,0.980232,0.981311,0.983373,0.984831
0.990749,0.982613,0.980185,0.986432,0.986575,0.986402,0.980524,0.981709,0.984304,0.982531,0.985379,0.980814,0.986580,0.986258,0.981476,0.984807,0.988320,0.988999,0.981853,0.987642,0.985402,0.986955
0.990182,0.982170,0.980452,0.985683,0.985247,0.984884,0.980646,0.982226,0.983902,0.983072,0.985130,0.981120,0.987824,0.985630,0.981573,0.984542,0.986381,0.987826,0.982079,0.986897,0.984606,0.986092
0.988394,0.979316,0.977703,0.981250,0.982870,0.983731,0.979023,0.979317,0.979804,0.980835,0.982852,0.977621,0.983057,0.982393,0.978091,0.980979,0.980749,0.984388,0.980322,0.980769,0.981703,0.984200
0.987401,0.978725,0.977665,0.980621,0.979653,0.982335,0.979023,0.979964,0.978121,0.980105,0.981568,0.977339,0.984041,0.981666,0.977607,0.981303,0.982318,0.983701,0.979512,0.979483,0.982180,0.983636
0.988706,0.980382,0.979116,0.984695,0.983709,0.983852,0.979881,0.981773,0.983207,0.981730,0.984468,0.979358,0.984611,0.985994,0.980267,0.983482,0.986058,0.988878,0.980728,0.986051,0.983294,0.985329
