Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
3.20600,0.675000,0.965358,0.969369,0.971081,0.973234,0.972565,0.969146,0.972343
3.20400,0.677000,0.964119,0.968623,0.968295,0.972566,0.971099,0.968730,0.974096
3.20600,0.676000,0.963254,0.968441,0.968666,0.972121,0.970572,0.968405,0.972018
3.20500,0.675000,0.963450,0.969228,0.968640,0.972316,0.971158,0.968951,0.970330
3.20600,0.674000,0.962742,0.967392,0.967180,0.970591,0.970191,0.967507,0.969811
3.20500,0.675000,0.963804,0.968280,0.968082,0.971314,0.971070,0.968327,0.969486
3.20500,3.82100,0.964749,0.968138,0.968427,0.972455,0.972682,0.969029,0.969097
3.20400,7.94800,0.963785,0.967876,0.966889,0.971092,0.970630,0.968040,0.968967
3.20300,11.0610,0.964119,0.966887,0.967525,0.970146,0.969810,0.967038,0.971694
3.20300,13.5810,0.964611,0.966464,0.968135,0.970646,0.971539,0.967871,0.969357
3.20400,15.6930,0.965949,0.967311,0.968348,0.971509,0.970748,0.968184,0.972862
3.20300,1.54100,0.965300,0.965899,0.967074,0.969895,0.969223,0.967533,0.969616
3.20400,0.750000,0.964119,0.965858,0.968348,0.969923,0.970015,0.968223,0.971434
3.20500,0.685000,0.963962,0.965697,0.968003,0.968560,0.969634,0.968132,0.972213
3.20500,0.669000,0.962526,0.965091,0.967287,0.967530,0.969048,0.966479,0.971889
3.20500,0.667000,0.961818,0.964244,0.966623,0.966946,0.967113,0.966206,0.969097
3.20600,0.670000,0.960677,0.964204,0.967366,0.967836,0.967670,0.965191,0.970201
3.20600,0.671000,0.960244,0.964789,0.964315,0.967753,0.967113,0.964917,0.968902
3.20500,0.672000,0.960578,0.964547,0.965668,0.968059,0.968110,0.965021,0.968578
3.20400,0.673000,0.960716,0.966100,0.964978,0.967753,0.967318,0.964293,0.967604
3.20600,0.672000,0.959162,0.964526,0.964209,0.967141,0.966967,0.963603,0.967863
3.20600,0.670000,0.959910,0.963437,0.964156,0.966055,0.967084,0.964110,0.967279
3.20500,0.672000,0.959477,0.963780,0.963864,0.966083,0.967230,0.964058,0.966825
3.20600,0.671000,0.958316,0.962811,0.961211,0.964692,0.965120,0.962354,0.964358
3.20400,0.671000,0.957136,0.961036,0.959964,0.964303,0.963889,0.961456,0.965137
3.20600,0.670000,0.957470,0.961883,0.962007,0.963941,0.964768,0.962120,0.965137
3.20500,0.675000,0.957077,0.961217,0.960627,0.963023,0.963391,0.961131,0.964358
3.20600,0.675000,0.956290,0.960975,0.959513,0.962466,0.963596,0.959543,0.964812
3.20600,0.672000,0.956939,0.959623,0.961078,0.963746,0.963742,0.961937,0.966565
3.20600,0.671000,0.956841,0.960531,0.960070,0.963301,0.963244,0.961013,0.962994
3.20600,0.671000,0.955936,0.958049,0.957788,0.960880,0.963156,0.959881,0.962475
12.8250,3.77200,0.955857,0.959603,0.959672,0.962605,0.963449,0.960272,0.962475
12.8200,7.86200,0.955975,0.959240,0.959964,0.962244,0.963742,0.959842,0.963254
12.8170,10.9800,0.955169,0.959785,0.957762,0.962077,0.962042,0.958905,0.963059
12.8170,13.5210,0.956152,0.959704,0.960070,0.962772,0.963830,0.959894,0.963449
12.8170,9.76700,0.958119,0.961782,0.961423,0.964303,0.965237,0.961039,0.963838
12.8160,1.37900,0.957942,0.959845,0.960362,0.963524,0.963918,0.960233,0.964682
12.8180,0.806000,0.961739,0.969470,0.967791,0.980885,0.984084,1.00256,0.977147
12.8170,0.752000,0.968801,0.992070,0.976387,1.04123,1.04704,1.12262,1.02084
12.8160,0.742000,0.981135,1.03200,0.990475,1.12039,1.12947,1.21400,1.10323
12.8160,0.730000,0.999862,1.08285,1.00188,1.17292,1.17531,1.21876,1.15555
12.8150,0.723000,1.01322,1.10703,1.00945,1.19348,1.18522,1.15701,1.15912
12.8150,0.717000,1.01041,1.10366,1.00799,1.18681,1.16827,1.11632,1.14088
12.8150,0.720000,0.999095,1.08098,1.00324,1.16054,1.13981,1.11591,1.11485
12.8150,0.720000,0.987705,1.05295,0.999469,1.12640,1.11203,1.10557,1.08641
12.8140,0.722000,0.980663,1.02791,0.994455,1.09385,1.08828,1.06838,1.05700
12.8150,0.721000,0.973208,1.00936,0.990634,1.06538,1.06560,1.03425,1.02999
12.8150,0.721000,0.970257,0.997458,0.989414,1.04491,1.04889,1.01521,1.01318
12.8140,0.721000,0.967109,0.990456,0.986973,1.02994,1.03599,1.00258,1.00097
12.8140,0.724000,0.964847,0.983070,0.984718,1.01675,1.02231,0.993767,0.992144
12.8130,0.721000,0.962900,0.978732,0.983285,1.00773,1.01301,0.986909,0.985198
