Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
3.20600,0.672000,0.978654,0.980509,0.980346,0.980805,0.978955,0.978895,0.982951
3.20600,0.672000,0.977620,0.979304,0.979588,0.979397,0.978955,0.979172,0.980998
3.20700,0.673000,0.978964,0.979252,0.979312,0.980508,0.978117,0.978895,0.982951
3.20700,0.673000,0.978706,0.979671,0.979243,0.980731,0.980252,0.980179,0.982774
3.20700,0.672000,0.978447,0.979985,0.979450,0.981768,0.978574,0.979068,0.981176
3.20600,0.671000,0.976587,0.979147,0.978277,0.980805,0.978727,0.978929,0.982064
3.20600,3.62300,0.976845,0.978623,0.978001,0.979026,0.978345,0.978929,0.978867
3.20300,7.28000,0.976018,0.978151,0.978070,0.980064,0.979489,0.978617,0.979222
3.20300,10.0230,0.976897,0.979095,0.977519,0.979397,0.978422,0.978478,0.978689
3.20300,12.2560,0.977310,0.977104,0.978829,0.979397,0.978498,0.978513,0.978867
3.20400,14.2120,0.978499,0.978204,0.978208,0.980583,0.977735,0.979242,0.979045
3.20400,1.27800,0.979429,0.978151,0.978208,0.979915,0.979108,0.979797,0.978334
3.20600,0.726000,0.980256,0.978571,0.980001,0.980360,0.979794,0.982574,0.982774
3.20500,0.685000,0.982220,0.978728,0.980760,0.982065,0.980785,0.984796,0.989167
3.20600,0.678000,0.981704,0.980352,0.982001,0.984807,0.983607,0.986184,0.990943
3.20600,0.677000,0.980877,0.980143,0.979519,0.983769,0.980404,0.983650,0.987746
3.20700,0.677000,0.977879,0.980404,0.979932,0.980360,0.980480,0.980873,0.985438
3.20600,0.677000,0.976638,0.978571,0.978070,0.980583,0.977812,0.978721,0.981531
3.20700,0.675000,0.975295,0.978518,0.976760,0.977989,0.974914,0.978096,0.977979
3.20700,0.675000,0.974829,0.977261,0.976002,0.977247,0.975982,0.976534,0.975315
3.20700,0.675000,0.974519,0.975846,0.975174,0.978433,0.974838,0.975424,0.975138
3.20600,0.677000,0.974364,0.975584,0.975864,0.975617,0.976363,0.975528,0.978867
3.20600,0.680000,0.972865,0.976318,0.975795,0.976877,0.975753,0.974417,0.977269
3.20700,0.678000,0.974002,0.975113,0.976209,0.976877,0.975524,0.973480,0.978334
3.20700,0.679000,0.972814,0.974589,0.975450,0.976284,0.975295,0.973688,0.975138
3.20600,0.676000,0.972659,0.974903,0.975036,0.977173,0.973770,0.972612,0.976736
3.20600,0.675000,0.973434,0.974012,0.974691,0.975617,0.974304,0.972577,0.976026
3.20600,0.675000,0.973951,0.974117,0.973036,0.976951,0.975295,0.973653,0.974782
3.20700,0.677000,0.972762,0.974170,0.974760,0.976506,0.974304,0.972612,0.976203
3.20800,0.678000,0.972762,0.974170,0.976139,0.976655,0.974685,0.972230,0.976203
3.20700,0.676000,0.972917,0.974327,0.975726,0.976951,0.976592,0.971536,0.976203
12.8260,3.54100,0.971832,0.973122,0.973105,0.976877,0.973237,0.972646,0.974072
12.8200,7.23600,0.970126,0.973331,0.974278,0.976506,0.973618,0.971640,0.973717
12.8200,10.0080,0.971935,0.973069,0.973243,0.975172,0.975677,0.972299,0.972651
12.8170,12.2510,0.973692,0.971235,0.972898,0.975321,0.974990,0.972334,0.974427
12.8180,8.94100,0.973537,0.971812,0.973657,0.974802,0.975295,0.972716,0.973362
12.8190,1.11300,0.975346,0.972336,0.973588,0.976210,0.976973,0.974313,0.974250
12.8180,0.729000,0.977776,0.974589,0.977243,0.985400,0.983683,0.992398,0.984195
12.8180,0.699000,0.986148,0.987425,0.986346,1.03261,1.03546,1.10612,1.03126
12.8170,0.692000,1.00388,1.01907,1.00297,1.10405,1.10858,1.19734,1.10282
12.8180,0.688000,1.02031,1.05638,1.01448,1.14763,1.14884,1.22591,1.15592
12.8150,0.688000,1.03204,1.07749,1.02090,1.16208,1.16195,1.20543,1.17155
12.8160,0.689000,1.03179,1.07665,1.02207,1.15653,1.15242,1.16686,1.15894
12.8160,0.689000,1.02770,1.06848,1.02172,1.14022,1.13321,1.14725,1.13834
12.8150,0.691000,1.02393,1.05648,1.01841,1.11532,1.10972,1.12604,1.11099
12.8150,0.691000,1.01437,1.03809,1.01352,1.08805,1.08593,1.09116,1.07938
12.8150,0.689000,1.00315,1.02038,1.00938,1.06552,1.06695,1.06266,1.05115
12.8150,0.690000,0.996589,1.00802,1.00448,1.04580,1.05086,1.04311,1.03374
12.8140,0.688000,0.992351,1.00225,1.00248,1.03365,1.03957,1.02964,1.02309
12.8130,0.689000,0.988629,0.995966,0.997862,1.02386,1.02897,1.01989,1.01101
12.8140,0.687000,0.987492,0.995075,0.997862,1.01668,1.02249,1.01257,1.00568
12.8130,0.689000,0.985890,0.991512,0.996759,1.01208,1.01616,1.00670,1.00231
12.8140,0.690000,0.984443,0.989835,0.994000,1.00497,1.01022,1.00250,0.997159
12.8140,0.690000,0.982996,0.987949,0.994759,1.00400,1.00610,1.00052,0.999645
