Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.996960,0.997857,0.997453,0.999159,0.999009,0.998225,0.995453,0.996970,0.994336,0.995443,0.995658,0.996847,1.00009,0.997344,1.00134,0.995227,0.996085,0.995958,0.999174
0.995066,0.994643,0.993896,0.995793,0.995905,0.996378,0.995362,0.994509,0.993416,0.995888,0.994342,0.995999,0.997193,0.993821,0.999484,0.998568,0.997337,0.993867,0.995870
0.991378,0.993085,0.991541,0.993437,0.992932,0.992864,0.993770,0.991479,0.992991,0.991664,0.991974,0.992375,0.993042,0.992237,0.996127,0.993318,0.992639,0.993031,0.993241
0.986344,0.988800,0.988225,0.987996,0.989233,0.989061,0.989495,0.990091,0.988389,0.987218,0.988783,0.988422,0.987310,0.989633,0.992356,0.988188,0.991073,0.988989,0.991664
0.985995,0.989530,0.988706,0.989230,0.991809,0.991234,0.988176,0.988450,0.986194,0.986384,0.987599,0.988328,0.986886,0.989939,0.989568,0.989500,0.986531,0.986480,0.991664
0.984101,0.988994,0.988754,0.990576,0.991281,0.992574,0.987858,0.987503,0.989097,0.986495,0.989375,0.987998,0.988160,0.989224,0.989258,0.988904,0.985748,0.988640,0.990688
0.983004,0.986949,0.986687,0.985640,0.986062,0.987902,0.985857,0.985799,0.986194,0.986384,0.986415,0.985880,0.986013,0.987386,0.987657,0.984847,0.985435,0.985086,0.988285
0.983652,0.987436,0.985053,0.986593,0.987648,0.986308,0.986403,0.985294,0.984495,0.986551,0.986382,0.985269,0.985070,0.986824,0.986107,0.985801,0.985121,0.986898,0.988059
0.980213,0.985440,0.985534,0.984574,0.985930,0.984497,0.985948,0.982454,0.983857,0.985162,0.985461,0.983245,0.983183,0.985088,0.985178,0.986279,0.979953,0.984807,0.989637
0.981958,0.985634,0.986207,0.986706,0.987648,0.985583,0.985403,0.984600,0.984919,0.984050,0.986941,0.982774,0.983631,0.986109,0.984868,0.984489,0.979170,0.984877,0.986407
0.981808,0.984660,0.985149,0.985023,0.986987,0.984931,0.984902,0.982959,0.985840,0.983717,0.985560,0.983057,0.982971,0.987028,0.986107,0.986517,0.983399,0.983971,0.985356
0.979715,0.984758,0.982121,0.981881,0.982760,0.981381,0.984038,0.981823,0.984990,0.981938,0.983586,0.978068,0.979550,0.982177,0.985126,0.982102,0.980736,0.983413,0.983103
0.978768,0.983151,0.981785,0.983228,0.982958,0.981708,0.983993,0.982075,0.982300,0.983161,0.981777,0.980374,0.979338,0.984015,0.982699,0.983057,0.982302,0.983692,0.983178
0.978618,0.982323,0.982554,0.982050,0.983222,0.982432,0.983038,0.982265,0.983220,0.981827,0.983290,0.980562,0.980918,0.985241,0.982389,0.981267,0.978543,0.982856,0.983554
0.979067,0.984417,0.983179,0.986145,0.985732,0.983990,0.984357,0.984474,0.986902,0.983217,0.984441,0.983857,0.983041,0.984679,0.982802,0.984489,0.977290,0.985644,0.986557
0.980213,0.983443,0.980824,0.981938,0.984015,0.982178,0.983220,0.983842,0.984707,0.981772,0.982402,0.981268,0.981791,0.983504,0.983732,0.982341,0.979953,0.983901,0.985356
0.978618,0.980911,0.978421,0.980928,0.982760,0.979498,0.982219,0.979803,0.983645,0.981049,0.980527,0.979527,0.978654,0.980849,0.982337,0.982938,0.981676,0.982926,0.981151
0.976525,0.981154,0.978997,0.981096,0.982099,0.978158,0.983083,0.980308,0.982512,0.981327,0.980560,0.978538,0.978348,0.982738,0.980375,0.981506,0.985435,0.980417,0.981075
0.976176,0.983053,0.982602,0.984237,0.983883,0.982396,0.982083,0.981949,0.983503,0.982828,0.982566,0.979574,0.982310,0.983760,0.984352,0.983176,0.980579,0.981532,0.985131
