Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.996356,0.995202,0.996166,0.995834,0.996903,0.996118,0.994525,0.994283,0.993764,0.995629,0.995411,0.996355,0.996499,0.995241,0.996414,0.996506,1.00013,0.994874,0.996239
0.995201,0.995328,0.994816,0.994842,0.995414,0.995381,0.994978,0.993940,0.995800,0.995730,0.995229,0.995338,0.995471,0.995830,0.995017,0.997671,0.999731,0.994263,0.996171
0.991735,0.992634,0.991330,0.990973,0.990650,0.990193,0.993990,0.990624,0.992618,0.992376,0.991886,0.989065,0.991131,0.991887,0.992456,0.994177,0.998116,0.992677,0.991179
0.987870,0.989098,0.987976,0.985864,0.987434,0.986378,0.988557,0.988451,0.989246,0.988564,0.988148,0.985674,0.985450,0.988216,0.988079,0.988143,0.989369,0.989747,0.988512
0.988670,0.993055,0.992027,0.989138,0.992556,0.990762,0.990039,0.988566,0.989055,0.989733,0.990154,0.989022,0.988909,0.991162,0.990221,0.989625,0.986543,0.990297,0.991863
0.988536,0.993686,0.992811,0.992064,0.994342,0.992838,0.991109,0.989252,0.990900,0.992223,0.992099,0.990506,0.991215,0.993745,0.991246,0.989308,0.985197,0.990480,0.992957
0.987781,0.991624,0.989283,0.988344,0.990412,0.989424,0.989833,0.987822,0.990010,0.988564,0.989516,0.986691,0.987169,0.991071,0.989476,0.988778,0.988158,0.989991,0.988991
0.984537,0.987204,0.985231,0.985567,0.987017,0.985842,0.987116,0.985250,0.986701,0.985412,0.986720,0.983512,0.982095,0.986765,0.986868,0.985602,0.985735,0.987367,0.985640
0.983738,0.988846,0.988106,0.986856,0.987076,0.987817,0.985964,0.985364,0.986955,0.985107,0.986720,0.983851,0.983500,0.988170,0.985704,0.985602,0.981160,0.986208,0.986803
0.984226,0.990740,0.988978,0.989287,0.991424,0.988721,0.988721,0.987365,0.986319,0.988055,0.989334,0.987708,0.986309,0.990527,0.987288,0.986238,0.980891,0.989930,0.988375
0.982671,0.988257,0.986799,0.986509,0.988804,0.986980,0.987939,0.985707,0.986892,0.986022,0.987237,0.984360,0.983898,0.988080,0.986403,0.984756,0.981967,0.988893,0.985914
0.979650,0.985521,0.984142,0.982343,0.984158,0.982362,0.985223,0.983020,0.984792,0.984396,0.984259,0.980672,0.980271,0.986629,0.984726,0.983273,0.979949,0.986391,0.983657
0.979872,0.985142,0.982747,0.982393,0.985111,0.983131,0.984811,0.983820,0.984473,0.982515,0.983833,0.980715,0.980481,0.984998,0.984587,0.982850,0.978603,0.984682,0.983520
0.981116,0.988888,0.989108,0.988295,0.991186,0.987683,0.986993,0.986507,0.985937,0.985616,0.986568,0.985165,0.985638,0.989213,0.986449,0.985602,0.978469,0.987001,0.988033
0.982271,0.989267,0.988368,0.988344,0.988982,0.988118,0.986663,0.986336,0.989246,0.987090,0.987054,0.984317,0.985072,0.990980,0.988033,0.985602,0.979814,0.988588,0.985845
0.978584,0.985942,0.983749,0.983732,0.986957,0.983399,0.984852,0.982906,0.984410,0.984243,0.984167,0.980799,0.980753,0.984907,0.984494,0.983591,0.980756,0.985231,0.983315
0.979383,0.983416,0.982747,0.981996,0.984099,0.981525,0.984235,0.983363,0.984155,0.983074,0.982435,0.979401,0.979348,0.983320,0.983562,0.982956,0.978334,0.985353,0.982836
0.978139,0.984426,0.983532,0.983682,0.985230,0.981190,0.984194,0.982791,0.982246,0.982922,0.983134,0.980079,0.980271,0.984499,0.983283,0.981050,0.977930,0.984804,0.983931
0.979250,0.987878,0.986320,0.985716,0.986957,0.985340,0.985675,0.984564,0.983646,0.985870,0.984866,0.983512,0.984233,0.987400,0.985378,0.983485,0.976585,0.985353,0.987076
0.977650,0.985605,0.984098,0.982740,0.985707,0.982362,0.985634,0.981991,0.983710,0.984294,0.983803,0.980164,0.981760,0.985088,0.985984,0.983485,0.978738,0.984987,0.984409
0.978495,0.983711,0.981876,0.982244,0.983146,0.981023,0.984070,0.981305,0.982819,0.983633,0.982618,0.979485,0.980166,0.983094,0.983236,0.982850,0.977661,0.984987,0.983452
0.979783,0.984847,0.983401,0.983682,0.984754,0.981993,0.985346,0.983877,0.983392,0.984243,0.983225,0.980969,0.981319,0.984454,0.983516,0.982638,0.979141,0.984743,0.985982
0.978628,0.986110,0.985579,0.984922,0.986779,0.985173,0.984564,0.985021,0.984092,0.985361,0.984714,0.983343,0.984171,0.984726,0.984633,0.982744,0.978065,0.985659,0.988102
0.983471,0.987204,0.986407,0.987303,0.989280,0.987750,0.987692,0.987251,0.986446,0.988208,0.987996,0.986225,0.989664,0.987173,0.989662,0.987826,0.986947,0.987062,0.990632
0.986359,0.985689,0.985623,0.986063,0.986124,0.985407,0.987898,0.986736,0.988291,0.987801,0.986416,0.986776,0.986666,0.985541,0.987846,0.988778,0.991118,0.986330,0.987965
0.988359,0.987373,0.986233,0.985864,0.986779,0.985541,0.987569,0.987365,0.987719,0.987395,0.986538,0.986903,0.988385,0.984861,0.988638,0.987931,0.992195,0.986025,0.988512
0.986892,0.986110,0.985623,0.985616,0.985647,0.985207,0.988104,0.985707,0.986255,0.987039,0.986082,0.985716,0.988301,0.986357,0.989476,0.990260,0.993002,0.985536,0.987897
0.984671,0.987962,0.986015,0.986608,0.985885,0.986077,0.987075,0.985936,0.986510,0.987242,0.985353,0.985080,0.987588,0.986675,0.988312,0.988461,0.987754,0.985475,0.986803
