Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.985321,0.989689,0.989118,0.987819,0.987683,0.986585,0.983556,0.987015,0.987431,0.993378,0.988714,0.990619,0.989304,0.992222,0.977930,0.988358,0.988793
0.984589,0.987312,0.987691,0.986376,0.986798,0.985401,0.985526,0.986197,0.988573,0.989443,0.986710,0.988606,0.989304,0.990255,0.974537,0.986446,0.988308
0.984623,0.985549,0.987155,0.986121,0.986594,0.985743,0.987410,0.986360,0.987035,0.988963,0.986710,0.988844,0.989236,0.989048,0.973435,0.985894,0.988891
0.982531,0.985496,0.987066,0.984933,0.986832,0.984239,0.985440,0.987179,0.986464,0.984453,0.984170,0.988981,0.988418,0.989674,0.973638,0.985597,0.986513
0.981137,0.983626,0.983855,0.984169,0.984927,0.983602,0.985355,0.985651,0.986200,0.984933,0.984267,0.986491,0.988214,0.989764,0.970883,0.986149,0.985446
0.981032,0.983599,0.983944,0.983447,0.984791,0.983442,0.983813,0.985324,0.984618,0.988100,0.984463,0.987002,0.988759,0.988914,0.970651,0.985214,0.984185
0.978835,0.982851,0.982428,0.981792,0.982171,0.982827,0.982014,0.984833,0.983432,0.985125,0.981580,0.986627,0.987600,0.989764,0.968881,0.983812,0.982002
0.978417,0.982664,0.982606,0.981113,0.983226,0.982167,0.981072,0.984724,0.982465,0.986948,0.982508,0.986320,0.985625,0.989004,0.968562,0.983685,0.982050
0.976778,0.981623,0.979752,0.981834,0.982919,0.981028,0.977647,0.983851,0.981586,0.985797,0.980408,0.986422,0.986579,0.988288,0.968591,0.983217,0.983020
0.976255,0.981195,0.984212,0.980179,0.982001,0.982622,0.979274,0.984178,0.981322,0.987716,0.980261,0.984921,0.986510,0.986634,0.967663,0.983387,0.982923
0.976290,0.981649,0.981982,0.980434,0.982443,0.981825,0.976105,0.983742,0.981674,0.988676,0.980652,0.985433,0.985148,0.987797,0.966126,0.983217,0.981565
0.976046,0.980901,0.982428,0.982259,0.983090,0.983101,0.978246,0.983087,0.981718,0.986852,0.979577,0.986252,0.985965,0.987305,0.967663,0.983557,0.982826
0.976778,0.981168,0.982696,0.979500,0.981967,0.982076,0.978931,0.984287,0.981586,0.987524,0.979870,0.984819,0.986033,0.986188,0.967953,0.983005,0.982535
0.976464,0.980073,0.983231,0.979797,0.982171,0.982144,0.975163,0.984069,0.981454,0.987908,0.981336,0.984273,0.985488,0.985875,0.966561,0.983132,0.980789
0.975244,0.979726,0.982696,0.979542,0.982409,0.982076,0.976704,0.983087,0.980619,0.990211,0.979870,0.985706,0.985284,0.986903,0.965604,0.982198,0.980983
0.977650,0.979993,0.982696,0.981325,0.981967,0.983283,0.977475,0.983305,0.982377,0.985701,0.981336,0.986525,0.986647,0.986590,0.966300,0.983430,0.983700
0.975941,0.980233,0.982696,0.979118,0.982511,0.982440,0.979102,0.982159,0.982684,0.984357,0.981287,0.987241,0.984671,0.986903,0.966387,0.984110,0.983020
0.974686,0.979966,0.981447,0.979160,0.983158,0.981096,0.978760,0.981723,0.981718,0.983589,0.979186,0.985160,0.985148,0.986143,0.965575,0.982325,0.980546
0.976360,0.978471,0.981001,0.979627,0.979789,0.980254,0.978674,0.980304,0.981322,0.977831,0.977769,0.983625,0.981741,0.983684,0.967895,0.982240,0.980110
0.978835,0.979165,0.980912,0.981028,0.979041,0.980094,0.981244,0.978668,0.982509,0.976392,0.977329,0.984034,0.983513,0.983416,0.974015,0.981815,0.981808
0.981834,0.981035,0.983231,0.982301,0.980674,0.981597,0.982957,0.979977,0.983036,0.980326,0.979870,0.983250,0.984058,0.983327,0.981381,0.982962,0.981856
0.982148,0.982237,0.986174,0.983320,0.980878,0.981802,0.980216,0.980741,0.982509,0.982246,0.981287,0.983182,0.982559,0.983684,0.985731,0.982622,0.983360
0.982462,0.983065,0.984836,0.983447,0.982069,0.983784,0.982186,0.982760,0.983959,0.983877,0.980847,0.985467,0.984807,0.986322,0.985412,0.983642,0.983700
0.982043,0.982557,0.985371,0.983872,0.983770,0.981894,0.982785,0.983851,0.983388,0.983301,0.982460,0.986320,0.986170,0.986545,0.980917,0.984832,0.983166
0.979114,0.981676,0.982160,0.981877,0.980810,0.980026,0.978075,0.979595,0.982860,0.980806,0.979284,0.984887,0.984058,0.985115,0.973870,0.981645,0.981225
0.977615,0.980287,0.980466,0.978694,0.980402,0.978113,0.977390,0.979050,0.979916,0.982821,0.977134,0.981783,0.982627,0.983148,0.968591,0.979138,0.980643
0.977476,0.979566,0.980287,0.979797,0.980606,0.978773,0.979873,0.979377,0.981542,0.983589,0.979430,0.983659,0.982831,0.984489,0.968272,0.981348,0.982584
0.976430,0.978631,0.978146,0.978651,0.979857,0.979001,0.980216,0.979050,0.981542,0.978215,0.979088,0.982533,0.982423,0.984399,0.966329,0.980795,0.979867
0.973187,0.977055,0.978592,0.976105,0.976523,0.977225,0.972422,0.977576,0.976619,0.981094,0.975619,0.981783,0.980583,0.983237,0.962588,0.977694,0.978363
0.974791,0.975292,0.976452,0.974831,0.977543,0.975881,0.976362,0.978340,0.978290,0.980230,0.975961,0.981032,0.981741,0.981494,0.962588,0.978331,0.978169
0.972664,0.975452,0.975649,0.976147,0.977748,0.976564,0.975334,0.978340,0.979696,0.979942,0.976352,0.982124,0.981469,0.981449,0.961834,0.979223,0.976665
0.971025,0.976334,0.976184,0.975765,0.977203,0.975812,0.972936,0.977631,0.976576,0.980422,0.974935,0.980248,0.981469,0.982522,0.962559,0.978841,0.976665
0.971583,0.975212,0.976095,0.974534,0.976319,0.976245,0.973792,0.977576,0.975653,0.980710,0.975131,0.981544,0.982286,0.982746,0.962211,0.979351,0.976762
0.969874,0.975185,0.976273,0.974322,0.976319,0.976678,0.974392,0.977031,0.975784,0.981478,0.975326,0.980964,0.982968,0.981896,0.961950,0.977906,0.976568
