Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
0.991564,0.990909,0.996001,0.990157,0.991126,0.989670,0.989488,0.988591,0.989809,0.991121,0.992505,0.994343,0.990775,0.990965,0.990522,0.990758,0.993633,0.992136
0.993751,0.992713,0.995653,0.993262,0.992394,0.990314,0.989244,0.988492,0.989420,0.992140,0.992725,0.994500,0.992808,0.994321,0.990405,0.992891,0.993952,0.994185
0.991946,0.992075,0.990784,0.993413,0.989465,0.989907,0.993644,0.989529,0.988097,0.990612,0.989933,0.992928,0.991401,0.989933,0.988254,0.992672,0.992201,0.992377
0.992050,0.991020,0.990958,0.992353,0.989728,0.990280,0.993400,0.989431,0.988603,0.990103,0.990668,0.990336,0.988743,0.989933,0.989010,0.990758,0.991882,0.992618
0.992849,0.991783,0.992871,0.992883,0.992481,0.989975,0.993074,0.990418,0.989459,0.990175,0.991035,0.989943,0.989681,0.987868,0.987730,0.991469,0.990344,0.993613
0.989898,0.991852,0.990784,0.991899,0.991083,0.989094,0.995192,0.988690,0.988292,0.989011,0.990594,0.991907,0.990619,0.986835,0.989010,0.991305,0.989813,0.993582
0.988718,0.989604,0.989567,0.990536,0.988329,0.986961,0.996415,0.987257,0.986386,0.987774,0.990080,0.988843,0.988118,0.982705,0.987207,0.989500,0.989283,0.991413
0.986496,0.989076,0.991827,0.986523,0.987280,0.986486,0.994133,0.986368,0.986191,0.987483,0.990080,0.990493,0.988899,0.984254,0.985288,0.988352,0.987213,0.991745
0.987503,0.990034,0.988350,0.987735,0.989815,0.986622,0.990629,0.987751,0.987241,0.988793,0.990153,0.990257,0.987023,0.987352,0.987382,0.990703,0.988115,0.991082
0.986635,0.989354,0.989219,0.987432,0.988897,0.986927,0.992829,0.988591,0.985880,0.987992,0.989492,0.990885,0.987961,0.985803,0.985056,0.989500,0.988115,0.991473
0.982955,0.987092,0.984003,0.987508,0.985356,0.983235,0.992992,0.985134,0.983546,0.987046,0.988023,0.988371,0.985772,0.981931,0.984823,0.985289,0.984773,0.987948
0.982747,0.987189,0.985916,0.985312,0.986143,0.983404,0.991199,0.985973,0.982068,0.987701,0.988169,0.987664,0.987180,0.982963,0.984648,0.984797,0.984667,0.988701
0.983129,0.988493,0.985742,0.989173,0.987804,0.983777,0.988347,0.985381,0.983507,0.987628,0.989051,0.990650,0.987023,0.987610,0.986451,0.988406,0.985675,0.989696
0.982886,0.986523,0.986263,0.986448,0.986624,0.983472,0.991688,0.985924,0.982340,0.987046,0.989125,0.990493,0.987336,0.982963,0.983834,0.987367,0.985038,0.988460
0.981184,0.985815,0.986611,0.985388,0.984613,0.983506,0.990140,0.983948,0.981718,0.985299,0.987729,0.989707,0.982333,0.980898,0.982206,0.986657,0.983075,0.988400
0.982052,0.985926,0.986263,0.986145,0.986187,0.981711,0.988836,0.983800,0.980706,0.986246,0.987802,0.986878,0.985616,0.983738,0.982846,0.985180,0.983924,0.987165
0.981497,0.986092,0.986785,0.985842,0.985488,0.982456,0.987859,0.985183,0.981095,0.986318,0.986626,0.989864,0.986554,0.985286,0.983718,0.986766,0.984136,0.987888
0.980733,0.985523,0.984351,0.985766,0.984176,0.980085,0.989244,0.983306,0.979773,0.984863,0.986333,0.987507,0.985929,0.981673,0.980520,0.984524,0.983447,0.986532
0.980872,0.985620,0.983307,0.985009,0.983739,0.981203,0.987859,0.983602,0.979345,0.986318,0.986112,0.989707,0.985772,0.980382,0.982729,0.984961,0.983606,0.985839
