Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000,Det0.000000
3.20500,0.678000,0.967186,0.969147,0.966040,0.971013,0.973446,0.969679,0.973198
3.20700,0.679000,0.967091,0.968350,0.966072,0.969334,0.971860,0.969603,0.973123
3.20700,0.676000,0.967067,0.968532,0.966103,0.971013,0.969998,0.970152,0.971639
3.20700,0.679000,0.965429,0.969238,0.965662,0.970284,0.971308,0.968764,0.972901
3.20700,0.682000,0.966212,0.968077,0.964684,0.970031,0.971653,0.969191,0.971861
3.20600,0.677000,0.965761,0.967940,0.964684,0.969049,0.970446,0.968504,0.970896
3.20600,3.72800,0.965714,0.968259,0.965946,0.970221,0.971308,0.968931,0.969411
3.20500,7.81900,0.965595,0.967667,0.964590,0.970475,0.971584,0.968245,0.971119
3.20300,10.7770,0.965880,0.967257,0.963991,0.968891,0.970791,0.967498,0.971416
3.20400,13.0880,0.966758,0.966415,0.964369,0.969144,0.970688,0.967864,0.969485
3.20600,15.1680,0.969014,0.967371,0.967396,0.970095,0.971170,0.968749,0.972233
3.20600,1.43000,0.968539,0.967394,0.965820,0.969651,0.969998,0.968489,0.971193
3.20500,0.741000,0.967138,0.967189,0.965283,0.969556,0.970998,0.967955,0.972455
3.20600,0.687000,0.967162,0.967189,0.965914,0.969714,0.972171,0.969526,0.974608
3.20600,0.675000,0.966806,0.967621,0.963265,0.968986,0.971688,0.968855,0.974534
3.20700,0.673000,0.965025,0.966688,0.962193,0.968701,0.969860,0.966705,0.971861
3.20600,0.671000,0.965168,0.965982,0.963076,0.968796,0.969826,0.966567,0.971045
3.20700,0.673000,0.963339,0.965549,0.960932,0.967243,0.968687,0.965347,0.968892
3.20700,0.664000,0.963197,0.964183,0.962067,0.966800,0.967894,0.964569,0.969560
3.20600,0.670000,0.962223,0.964138,0.961184,0.966198,0.966274,0.964356,0.968520
3.20700,0.668000,0.959968,0.962931,0.961153,0.965406,0.966618,0.962678,0.966219
3.20700,0.674000,0.960656,0.963751,0.960554,0.965564,0.965894,0.964386,0.966664
3.20700,0.678000,0.959065,0.963045,0.958946,0.964741,0.964687,0.962419,0.967110
3.20700,0.671000,0.959065,0.962248,0.958504,0.963220,0.964584,0.961245,0.965699
3.20700,0.669000,0.959493,0.961064,0.958410,0.963188,0.965067,0.961550,0.965922
3.20700,0.665000,0.959540,0.960358,0.957464,0.963537,0.964860,0.961412,0.965625
3.20600,0.672000,0.958970,0.960335,0.957621,0.963125,0.964791,0.961382,0.963917
3.20600,0.673000,0.958401,0.960381,0.957621,0.962967,0.963101,0.960970,0.965254
3.20700,0.672000,0.958638,0.960517,0.956108,0.962745,0.963342,0.961458,0.965847
3.20700,0.672000,0.957237,0.960381,0.954783,0.961446,0.962515,0.959841,0.964214
3.20600,0.676000,0.957617,0.960108,0.955918,0.961636,0.961790,0.960146,0.965179
12.8250,3.63200,0.957285,0.960768,0.954783,0.961668,0.963066,0.960863,0.964363
12.8200,7.62600,0.957380,0.959584,0.954815,0.962967,0.963170,0.960894,0.963620
12.8180,10.6370,0.956264,0.958536,0.955319,0.961921,0.963377,0.961214,0.963620
12.8170,13.0280,0.956857,0.958559,0.955383,0.962270,0.962170,0.961153,0.965847
12.8180,9.04500,0.959896,0.960381,0.956234,0.962079,0.963791,0.961565,0.965328
12.8190,1.23100,0.960158,0.960654,0.957495,0.962871,0.963549,0.962053,0.964511
12.8180,0.721000,0.966402,0.969898,0.964811,0.984952,0.992413,1.01530,0.986413
12.8190,0.680000,0.974784,1.00153,0.973608,1.06298,1.08180,1.14595,1.04484
12.8170,0.673000,0.995964,1.06266,0.992464,1.14516,1.17915,1.21580,1.13832
12.8170,0.669000,1.01681,1.12899,1.00533,1.19670,1.21501,1.19096,1.17418
12.8170,0.666000,1.02291,1.14299,1.01085,1.20902,1.20381,1.14313,1.16564
12.8170,0.666000,1.01327,1.12503,1.01000,1.19268,1.17325,1.12917,1.14426
12.8150,0.665000,0.998409,1.09242,1.00000,1.15856,1.13542,1.11767,1.11382
12.8150,0.668000,0.984424,1.05870,0.991833,1.11493,1.09932,1.07936,1.07588
12.8150,0.667000,0.977277,1.03229,0.985653,1.07404,1.06907,1.03654,1.04069
12.8160,0.668000,0.970747,1.01034,0.979820,1.04299,1.04449,1.01051,1.01418
12.8140,0.667000,0.967495,0.996106,0.977392,1.02303,1.02852,0.995714,1.00119
12.8140,0.668000,0.965832,0.986907,0.976477,1.00782,1.01438,0.986868,0.991536
12.8140,0.669000,0.963624,0.980418,0.974049,0.999208,1.00283,0.980050,0.986933
12.8140,0.670000,0.961226,0.976411,0.972094,0.990496,0.994896,0.975490,0.981142
12.8140,0.669000,0.959801,0.973633,0.972220,0.986980,0.989930,0.972745,0.977430
12.8120,0.666000,0.958638,0.970673,0.971085,0.982513,0.985723,0.970609,0.974757
12.8120,0.674000,0.957427,0.967690,0.969162,0.979218,0.980274,0.969892,0.972455
12.8130,0.669000,0.957665,0.967007,0.969729,0.976430,0.978861,0.969877,0.970376
12.8130,0.667000,0.957142,0.965845,0.968973,0.973611,0.976792,0.969587,0.970599
12.8110,3.61100,0.955836,0.964730,0.966608,0.972914,0.975378,0.969038,0.969634
12.8110,7.58600,0.955528,0.965026,0.966860,0.972090,0.975757,0.968062,0.970005
12.8090,10.6070,0.954791,0.963819,0.969761,0.970443,0.972791,0.968382,0.967629
12.8080,12.9700,0.955195,0.962475,0.969067,0.968605,0.970481,0.967528,0.967555
12.8100,8.25200,0.960395,0.966961,0.973293,0.975797,0.980412,0.971646,0.971564
12.8110,1.24300,0.965856,0.979325,0.975500,1.01581,1.03290,1.02268,0.998144
12.8120,0.715000,0.980174,1.04194,0.986473,1.10210,1.13397,1.13414,1.09882
12.8110,0.678000,1.01358,1.12293,1.00621,1.16854,1.19857,1.18620,1.16586
12.8110,0.670000,1.04032,1.17061,1.01841,1.20604,1.22088,1.18403,1.18628
12.8110,0.668000,1.04421,1.17858,1.02406,1.21330,1.20674,1.16405,1.17366
12.8120,0.669000,1.03590,1.15814,1.01841,1.19793,1.17922,1.14816,1.15161
12.8100,0.669000,1.02023,1.13106,1.00899,1.16410,1.14232,1.12941,1.12659
12.8110,0.667000,0.998979,1.09388,0.994230,1.11645,1.09849,1.09037,1.08902
12.8110,0.668000,0.985920,1.05872,0.984612,1.07061,1.06480,1.04530,1.04967
12.8100,0.670000,0.976232,1.02862,0.977297,1.03745,1.04014,1.01633,1.02205
12.8090,0.674000,0.968848,1.00576,0.971464,1.01530,1.01962,0.998704,1.00631
12.8100,0.668000,0.964479,0.993670,0.969509,1.00212,1.00897,0.988851,0.994432
12.8110,0.671000,0.961274,0.984699,0.966671,0.993062,0.996965,0.981575,0.984780
12.8100,0.666000,0.959517,0.981261,0.964779,0.986441,0.990206,0.977549,0.981884
12.8090,0.667000,0.959825,0.974635,0.965410,0.982798,0.984033,0.974926,0.978989
12.8080,0.665000,0.958234,0.972312,0.964306,0.976779,0.978964,0.972623,0.975796
12.8080,0.666000,0.956833,0.968532,0.962130,0.973611,0.975550,0.970167,0.972233
12.8080,0.666000,0.956762,0.968213,0.963139,0.972946,0.974309,0.970258,0.970970
12.8080,0.667000,0.956192,0.965686,0.961121,0.971013,0.972791,0.968855,0.970005
12.8080,0.668000,0.954293,0.965299,0.958819,0.968859,0.969653,0.967422,0.968298
12.8060,3.60700,0.954744,0.965800,0.959828,0.968004,0.968481,0.968032,0.968817
12.8060,7.60500,0.954008,0.964456,0.959639,0.965501,0.966756,0.967101,0.967778
12.8040,10.6500,0.953272,0.964935,0.956581,0.964614,0.967653,0.966644,0.967258
12.8040,13.0070,0.954673,0.964024,0.958315,0.964867,0.966687,0.967498,0.966219
12.8060,8.80800,0.956976,0.968191,0.961216,0.968289,0.971481,0.969298,0.969189
12.8070,1.21900,0.961938,0.973496,0.962162,0.992555,1.00872,0.987417,0.978915
12.8070,0.723000,0.971816,1.01412,0.971338,1.06063,1.09518,1.08645,1.04373
12.8070,0.687000,0.996462,1.09062,0.988239,1.13198,1.16839,1.16135,1.13060
